noncompliance,股东权益/负债合计_EquTotLia,股东类别_SHType,每股收益(元/股)_BasicEPS,每股经营活动现金流量(元/股)_OpeCFPS,营业利润/营业总收入()_OpePrTOR,净利润()_NetPrf,有形净值债务率(%)_DbTanEquRt,每股现金及现金等价物余额(元/股)_CCEPS,资产负债率(%)_DbAstRt,经营现金净流量(元)_NOCF,股东总户数(户)_SHNum,利润总额增长率(%)_TotPrfGrRt,营业收入增长率(%)_OpeIncmGrRt,户均持股数(股/户)_AvgHS,每股资本公积金(元/股)_CapSurFdPS,股东权益周转率(次)_EquRat,产权比率(%)_DbEquRt,权益乘数(%)_EquMul,营业收入3年复合增长率(%)_OperaInc3GrRt
0.0,107.7764,0,0.56,1.0343,2.6151,75183905.3,125.5144,1.0864,46.6369,138596916.75,11.0,-5.4155,19.2162,12181818.0,2.2632,2.7629,87.3953,1.874,9.5832
0.0,183.7268,0,0.0321,0.2705,2.121,10407949.21,77.3681,0.5118,35.1074,87864256.11,31989.0,-79.3034,28.9846,10152.0,1.8718,0.3781,54.1007,1.541,32.9974
0.0,199.8435,0,0.501,0.1797,21.0776,262851339.14,94.0237,0.2515,33.3319,94720852.27,28621.0,42.9718,43.8412,18414.0,1.7613,0.5883,49.9967,1.5,61.3808
0.0,224.0297,0,0.38,0.5595,3.8885,314180763.53,49.7493,0.8849,28.8974,465025293.77,34045.0,24.4806,6.0929,24414.0,0.1291,3.8516,40.6418,1.4064,6.0117
0.0,148.9996,0,0.13,0.1103,24.8598,52679055.47,79.8317,0.4194,40.1607,46238560.78,24069.0,-12.6673,43.2839,17416.0,0.8173,0.2534,67.1143,1.6711,21.2213
0.0,162.7086,0,0.22,0.0534,4.3996,43673281.76,71.6456,0.9408,38.065,10575533.26,12920.0,-12.0703,-13.289,15325.0,2.1519,1.2251,61.4596,1.6146,-3.2186
0.0,330.0307,0,0.34,0.624,11.1797,269460145.5,32.769,0.1536,23.2563,499205419.21,43180.0,14.4066,-14.9311,18527.0,2.3983,0.7199,30.3039,1.303,-8.297
0.0,85.965,0,0.64,1.2947,9.278,38921547.86,133.1705,0.8525,53.7736,78573752.83,154.0,-13.6944,-1.6839,394091.0,0.5523,1.3397,116.3264,2.1633,9.4089
0.0,102.3996,0,0.34,0.1683,12.1918,636625439.62,179.7391,1.8651,47.1831,342447446.19,146398.0,52.3705,26.8687,13900.0,2.726,0.8214,89.3335,1.8933,16.7749
0.0,6.7359,1,-1.3,-0.3986,-65.5493,-2330954496.54,1668.0712,0.6013,90.5139,-719107666.0,69061.0,-887.1281,-51.9975,26125.0,-0.4992,1.259,954.1766,10.5418,-19.4307
0.0,77.0187,0,0.51,0.8969,24.1463,478091748.43,154.3365,0.4452,56.4912,839458707.11,101252.0,20.4709,18.8554,9244.0,1.5535,0.6315,129.8386,2.2984,14.6786
0.0,206.7916,0,0.13,-0.3084,11.3069,68117264.76,51.8691,0.6666,32.3951,-161969039.67,47222.0,-24.3501,38.7144,11121.0,0.4261,0.5545,47.9184,1.4792,17.3544
0.0,94.658,1,0.0869,0.3008,4.0961,202076934.2,114.8694,1.5154,51.0931,795496378.69,101624.0,56.0549,5.6585,26020.0,2.6033,0.6017,104.4703,2.0447,25.7097
0.0,428.3476,0,0.0624,0.4343,17.0902,16455522.05,23.5128,3.3901,12.948,114560169.61,41817.0,-25.5437,-2.0428,6307.0,0.0912,0.4993,14.8738,1.1487,-6.3075
0.0,157.2577,0,0.11,0.2744,4.547,60329417.71,68.2195,1.5779,38.7732,144930035.85,66205.0,49.181,46.2925,7977.0,2.399,0.7937,63.3273,1.6333,24.4414
0.0,362.8261,0,0.32,0.0869,13.9598,121323321.93,62.3425,0.8393,21.6064,38944758.73,23496.0,145.1501,72.9763,19080.0,3.4704,0.5152,27.5614,1.2756,42.7816
0.0,619.5809,0,0.39,0.3887,33.2659,155641178.71,17.1958,0.897,13.897,155476278.39,31451.0,16.2701,10.2787,12718.0,0.6809,0.5099,16.1399,1.1614,12.6751
0.0,829.0968,0,0.21,-0.0063,30.4969,113782600.59,12.1275,1.6762,10.6761,-3427149.27,43458.0,-1.481,17.8454,12426.0,1.3494,0.2647,11.9521,1.1195,19.1873
0.0,1002.7994,0,0.11,0.0469,15.122,23393455.21,12.2601,1.0211,8.7626,10073220.7,12489.0,260.6856,-7.8073,17183.0,1.756,0.1994,9.6041,1.096,-5.4029
0.0,173.6035,1,0.18,0.2188,3.3463,41168494.78,62.9922,0.8946,36.341,48821433.94,22843.0,9.5436,5.3871,9766.0,0.2922,2.0999,57.0871,1.5709,3.1709
0.0,204.995,0,0.08,0.4152,1.5126,12390096.67,78.5521,1.9048,32.7874,62285920.03,7309.0,-16.5619,-0.8193,20523.0,3.2393,0.56,48.7817,1.4878,6.2147
0.0,448.1483,0,0.27,0.4149,10.4861,32038866.3,23.6409,1.8203,18.2407,49782475.31,10880.0,-0.6349,-4.5919,11029.0,0.6977,0.6932,22.3102,1.2231,7.1345
0.0,141.0922,0,0.02,-0.0604,-20.0379,14008123.89,73.3992,1.1963,40.8114,-34116012.47,46839.0,107.9838,-10.8391,12049.0,1.4839,0.421,68.9515,1.6895,-2.7427
0.0,101.5516,0,0.88,0.8801,16.4313,66001772.05,171.4972,0.1633,49.6151,66008997.75,6.0,-0.055,-8.1753,12500000.0,0.5265,2.2336,98.4721,1.9847,6.9047
0.0,3.964,0,0.07,0.7652,-3.9258,17961831.09,4507.0159,0.0628,94.2854,209152091.48,12407.0,109.3449,36.3829,22031.0,1.8946,389.0471,1649.9106,17.4991,-8.4623
0.0,232.5926,0,0.43,0.4729,13.8356,160386061.31,52.687,0.3272,28.3547,184806087.72,32225.0,28.4842,11.2173,12126.0,2.166,0.9414,39.5764,1.3958,12.184
0.0,2236.0925,0,1.44,1.39,49.7944,103265623.65,4.5894,1.8763,4.2807,103330861.15,7181.0,16.2588,18.1352,10352.0,4.4784,0.4728,4.4721,1.0447,17.9453
0.0,209.3095,0,0.52,-0.245,8.2042,35158093.73,48.6202,2.7131,32.3306,-16562986.86,27.0,-0.4522,7.5673,2503704.0,0.9516,1.1589,47.7772,1.4778,3.1251
0.0,96.6001,0,0.25,0.0364,4.7389,212923037.21,108.2592,0.8979,49.6751,33291966.58,117220.0,373.7548,2.3967,7798.0,0.4493,2.8653,98.7087,1.9871,1.866
0.0,280.1813,0,1.06,0.8937,31.7216,605396944.89,39.0856,1.2979,26.3032,536196915.85,28161.0,46.474,14.41,21306.0,1.6281,0.8691,35.6912,1.3569,1.0197
0.0,187.2673,0,-0.081,-0.0506,-29.972,-117874328.06,110.467,0.1882,33.4242,-73625103.27,125931.0,-162.2337,-34.0621,11559.0,0.9189,0.1823,50.2048,1.502,10.0064
0.0,59.1161,0,0.3562,1.3183,2.0064,170393431.48,187.9786,1.4817,61.2056,630653615.94,57369.0,37.9656,4.0492,8339.0,2.1885,4.7039,157.7691,2.5777,-4.3208
